sessionid,scripcode,buyorsell,typecode,rate,qty,minfillqty,avlqty,actionid,tradetimestamp,retetion,audcode,ordid,errorcode,ordertype
3,500002,B,L,218130,4,4,0,0,02mar2022 09:32:58,0,T,1646193664720054970,0,N
3,500002,B,L,218170,15,0,0,0,02mar2022 09:33:17,4,T,1646193664720054995,0,N
3,500002,S,L,218165,1,30,0,0,02mar2022 09:33:17,0,T,1646193664720055026,0,N
3,500002,S,L,218165,12,30,1,0,02mar2022 09:33:17,0,T,1646193664720055026,0,N
3,500002,S,L,218165,1,30,13,0,02mar2022 09:33:17,0,T,1646193664720055026,0,N
3,500002,S,L,218205,1,30,29,0,02mar2022 09:33:17,0,T,1646193664720055026,0,N
3,500002,S,L,218170,15,30,14,0,02mar2022 09:33:17,0,T,1646193664720055026,0,N
3,500002,B,L,218165,1,1,4,0,02mar2022 09:33:17,4,T,1646193031025734119,0,N
3,500002,B,L,218205,1,0,0,0,02mar2022 09:33:17,0,T,1646193664720055018,0,N
3,500002,B,L,218165,1,0,0,0,02mar2022 09:33:17,0,T,1646193664720054997,0,N
3,500002,B,L,218165,12,0,0,0,02mar2022 09:33:17,0,T,1646193664720055002,0,N
3,500002,B,L,218125,2,0,0,0,02mar2022 09:33:28,0,T,1646193664720054966,0,N
3,500002,S,L,218125,2,0,38,0,02mar2022 09:33:28,3,T,1646193664720055051,0,N
3,500002,S,L,218120,12,0,0,0,02mar2022 09:33:28,3,T,1646193664720055053,0,N
3,500002,B,L,218120,12,0,0,0,02mar2022 09:33:28,0,T,1646193664720054967,0,N
3,500002,B,L,218085,2,0,0,0,02mar2022 09:33:28,0,T,1646193664720054939,0,N
3,500002,S,L,218085,2,0,0,0,02mar2022 09:33:28,3,T,1646193664720055054,0,N
3,500002,S,L,218075,20,0,0,0,02mar2022 09:33:31,3,T,1646193664720055116,0,N
3,500002,B,L,218075,20,0,5,0,02mar2022 09:33:31,0,T,1646193664720054944,0,N
3,500002,B,L,218075,5,0,0,0,02mar2022 09:33:34,0,T,1646193664720054944,0,N
3,500002,S,L,218075,5,0,0,0,02mar2022 09:33:34,3,T,1646193664720055130,0,N
3,500002,S,L,217740,2,0,0,0,02mar2022 09:35:41,3,T,1646193664720348104,0,N
3,500002,B,L,217740,2,0,0,0,02mar2022 09:35:41,0,T,1646193664720348053,0,N
3,500002,B,L,217735,2,0,0,0,02mar2022 09:35:41,0,T,1646193664720348049,0,N
3,500002,S,L,217735,2,0,0,0,02mar2022 09:35:41,3,T,1646193664720348105,0,N
3,500002,S,L,217715,2,0,0,0,02mar2022 09:35:41,3,T,1646193664720348107,0,N
3,500002,S,L,217730,2,0,2,0,02mar2022 09:35:41,3,T,1646193664720348107,0,N
3,500002,B,L,217715,2,0,0,0,02mar2022 09:35:41,0,T,1646193664720348060,0,N
3,500002,B,L,217730,2,0,0,0,02mar2022 09:35:41,0,T,1646193664720348048,0,N
3,500002,B,L,217710,16,0,0,0,02mar2022 09:35:41,0,T,1646193031025233201,0,N
3,500002,S,L,217710,16,0,0,0,02mar2022 09:35:41,3,T,1646193664720348108,0,N
3,500002,S,L,217685,2,0,0,0,02mar2022 09:35:41,3,T,1646193664720348109,0,N
3,500002,B,L,217685,2,0,0,0,02mar2022 09:35:41,0,T,1646193031025734837,0,N
3,500002,B,L,217645,1,0,0,0,02mar2022 09:35:41,0,T,1646193031025734590,0,N
3,500002,S,L,217645,1,0,0,0,02mar2022 09:35:41,3,T,1646193664720348110,0,N
3,500002,S,L,217625,5,0,7,0,02mar2022 09:35:41,3,T,1646193664720348111,0,N
3,500002,S,L,217630,1,0,12,0,02mar2022 09:35:41,3,T,1646193664720348111,0,N
3,500002,B,L,217630,1,1,0,0,02mar2022 09:35:41,0,T,1646193664720055223,0,N
3,500002,B,L,217625,5,1,0,0,02mar2022 09:35:41,4,T,1646193031025232681,0,N
3,500002,B,L,217625,6,0,10,0,02mar2022 09:36:15,0,T,1646193664720348296,0,N
3,500002,S,L,217625,6,0,0,0,02mar2022 09:36:15,3,T,1646193664720348297,0,N
3,500002,B,L,217625,1,0,9,0,02mar2022 09:36:16,0,T,1646193664720348296,0,N
3,500002,S,L,217625,1,0,0,0,02mar2022 09:36:16,3,T,1646193664720348302,0,N
3,500002,S,L,217625,1,0,0,0,02mar2022 09:36:16,3,T,1646193664720348303,0,N
3,500002,B,L,217625,1,0,8,0,02mar2022 09:36:16,0,T,1646193664720348296,0,N
3,500002,B,L,217625,1,0,7,0,02mar2022 09:36:16,0,T,1646193664720348296,0,N
3,500002,S,L,217625,1,0,0,0,02mar2022 09:36:16,3,T,1646193664720348306,0,N
3,500002,S,L,217625,1,0,0,0,02mar2022 09:36:16,3,T,1646193664720348313,0,N
3,500002,B,L,217625,1,0,6,0,02mar2022 09:36:16,0,T,1646193664720348296,0,N
3,500002,B,L,217625,1,0,5,0,02mar2022 09:36:21,0,T,1646193664720348296,0,N
3,500002,S,L,217625,1,0,0,0,02mar2022 09:36:21,3,T,1646193664720348331,0,N
3,500002,S,L,217625,5,6,1,0,02mar2022 09:36:21,3,T,1646193664720348332,0,N
3,500002,B,L,217625,5,0,0,0,02mar2022 09:36:21,0,T,1646193664720348296,0,N
3,500002,B,L,217525,1,0,0,0,02mar2022 09:36:46,0,T,1646193664720348510,0,N
3,500002,S,L,217520,4,0,0,0,02mar2022 09:36:46,0,T,1646193664720348529,0,N
3,500002,S,L,217525,1,0,4,0,02mar2022 09:36:46,0,T,1646193664720348529,0,N
3,500002,B,L,217520,4,2,12,0,02mar2022 09:36:46,4,T,1646193664720348311,0,N
3,500002,B,L,217485,1,0,0,0,02mar2022 09:38:54,0,T,1646193664720536086,0,N
